N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.879744,82.002744,6.502985,202.935536,rice
85,58,41,21.770462,80.319644,7.038096,226.655537,rice
60,55,44,23.004459,82.320763,7.840207,263.964248,rice
74,35,40,26.491096,80.158363,6.980401,242.864034,rice
78,42,42,20.130175,81.604873,7.628473,262.71734,rice
69,54,40,22.985,82.7,6.1,190,wheat
62,59,41,23.4,79.8,6.3,178,wheat
58,52,39,20.8,75.4,6.2,160,wheat
75,45,41,24.1,71.9,6.4,149,wheat
80,40,38,19.7,68.5,6.6,131,wheat
68,44,19,26.5,60.2,6.8,95,maize
72,39,21,24.8,58.1,6.9,103,maize
61,42,17,25.3,63.4,6.7,112,maize
54,37,20,27.1,57.9,6.5,89,maize
63,41,18,23.7,61.3,6.6,98,maize
35,64,82,26.2,65.1,5.9,72,blackgram
29,58,80,27.4,66.9,6.1,68,blackgram
33,62,79,25.8,64.7,5.8,70,blackgram
31,61,84,28.1,67.2,6.0,74,blackgram
30,63,83,26.9,65.8,6.2,71,blackgram
